developer_name,developer_id,Domain,frequency
DenizAltunkapan,93663085,Event Handling,1
DenizAltunkapan,93663085,Software Development and IT Operations-Configuration Management,1
Daniel-Ruan,81010638,Data Structure-Search Algorithms,1
Daniel-Ruan,81010638,Event Handling,1
Daniel-Ruan,81010638,Software Development and IT Operations-Configuration Management,1
CraftyDH,23249291,Data Structure-Data Sorting,1
CraftyDH,23249291,Event Handling,1
CraftyDH,23249291,Software Development and IT Operations-Configuration Management,1
Boston54,84423783,Data Structure-Data Sorting,1
Boston54,84423783,Event Handling,1
Boston54,84423783,Software Development and IT Operations-Configuration Management,1
BaronMac08,172663733,Data Structure-Data Sorting,3
BaronMac08,172663733,Event Handling,3
BaronMac08,172663733,Software Development and IT Operations-Configuration Management,3
AdiAr11,54585121,Data Structure-Data Sorting,1
AdiAr11,54585121,Event Handling,1
AdiAr11,54585121,Software Development and IT Operations-Configuration Management,1
AbdoMostfa2,141267096,Event Handling,6
AbdoMostfa2,141267096,Software Development and IT Operations-Configuration Management,6
AbdoMostfa2,141267096,Data Structure-Data Sorting,4
AbdoMostfa2,141267096,Data Structure-Search Algorithms,2
AbdelrahmanAboulfotouh,144533464,Application-Version Control,2
AbdelrahmanAboulfotouh,144533464,Databases-Backup and Recovery,2
AbdelrahmanAboulfotouh,144533464,Software Development and IT Operations-Configuration Management,2
AashifAmeer,102269377,Software Development and IT Operations-Configuration Management,2
AashifAmeer,102269377,Application-Version Control,1
AashifAmeer,102269377,Data Structure-Data Sorting,1
AashifAmeer,102269377,Databases-Backup and Recovery,1
AashifAmeer,102269377,Event Handling,1
AU0430,184870087,Data Structure-Data Sorting,1
AU0430,184870087,Event Handling,1
AU0430,184870087,Software Development and IT Operations-Configuration Management,1
1996wu,48911625,Data Structure-Data Sorting,1
1996wu,48911625,Event Handling,1
1996wu,48911625,Software Development and IT Operations-Configuration Management,1
11raphael,187523969,Data Structure-Search Algorithms,1
11raphael,187523969,Event Handling,1
11raphael,187523969,Software Development and IT Operations-Configuration Management,1
